Longitude;Latitude;ID;Type 1;Etat 1;Type 2;Etat 2;Type 3;Etat 3;Type 4;Etat 4;Type 5;Etat 5;Type 6;Etat 6;Type 7;Etat 7;ROAD;GEOMETRY
2.0122875345077675 ;49.0355;132;C50;Bon;;;;;;;;;;;;;95637 - ALL DU PRACTICE;POINT(2.0122817159 49.0354993926)
2.0181908751793416 ;49.0391;363;B6a1;Bon;M9z;Bon;EB10;Bon;E31;Bon;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0181222260 49.0390970162)
2.0182311873282939 ;49.0391;362;B14-30km/h;Bon;B13-3,5t;Bon;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0182275027 49.0390785540)
2.0180963747513601 ;49.039;365;C20a;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0180343837 49.0390104196)
2.0181470802029029 ;49.039;364;B6a1;Bon;M6f;Bon;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0180826634 49.0390658063)
2.0181621825896463 ;49.039;361;B51-30km/h;Bon;EB20;Bon;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0181638002 49.0390280027)
2.0179116760613462 ;49.0388;360;C20a;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0178955793 49.0387642557)
2.0176086372063948 ;49.0387;359;AB4;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0176307112 49.0387189790)
2.0176545845707547 ;49.0387;366;B30-30km/h;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0176327229 49.0386407338)
2.0257611344198430 ;49.0384;268;B1;Mauvais;M9z;Bon;M9v2;Bon;;;;;;;;;95637 - R DE PUISEUX;POINT(2.0257799327 49.0384147889)
2.0257005612219285 ;49.0383;269;B6a1;Bon;;;;;;;;;;;;;95637 - R DE PUISEUX;POINT(2.0257108659 49.0383062119)
2.0258547626994807 ;49.038;831;B6a1;Bon;;;;;;;;;;;;;95637 - R DE PUISEUX;POINT(2.0258469880 49.0380283944)
2.0174472906512255 ;49.0379;367;C27;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0173966885 49.0378217886)
2.0175348790921048 ;49.0377;368;AB4;Bon;;;;;;;;;;;;;95637 - AV MARTIN LUTHER KING;POINT(2.0175656676 49.0377936550)
2.0368890364814622 ;49.0373;826;A2b;Bon;B14-30km/h;Bon;;;;;;;;;;;95637 - R NATIONALE;POINT(2.0369097590 49.0372533985)
