pano,bdtopo_troncon,bdtopo_position_sur_troncon,bdtopo_sens,bdtopo_azimuth_du_projete,bdtopo_projete,wkt
483,TRONROUT0000000356914589,0.33,1,94.1,0101000020E6100000BFCD2535FF2D00405BBF12DB12834840,POINT(2.02245942613237 49.0240129319706)
591,TRONROUT0000000004018762,0.86,1,258.6,0101000020E6100000A1DA14EDC02A0040D2F1DD4385834840,POINT(2.02087578983203 49.027504428264)
786,TRONROUT0000000004020694,0.10,1,73.3,0101000020E6100000DAE57AD8E13B0040F6BC001A28834840,POINT(2.02923936009459 49.0246613029102)
126,TRONROUT0000000243755361,0.87,-1,312.9,0101000020E610000027BB79BF7F23004086AC9F2A9B844840,POINT(2.0173335036301 49.0359853057535)
105,TRONROUT0000000004016513,0.91,1,280.6,0101000020E6100000AF7A9DB9C52000406DCD6EBB2C844840,POINT(2.01600213062132 49.0326151171711)
909,TRONROUT0000000004016571,0.78,-1,116.1,0101000020E6100000EE4CD30D53240040719EBBF5CD834840,POINT(2.01773653794373 49.0297228971584)
803,TRONROUT0000000004018566,0.03,1,311.0,0101000020E6100000B3DB1FF0613B004050A4D108A3834840,POINT(2.02899539563392 49.0284129165308)
375,TRONROUT0000000243755360,0.87,1,244.8,0101000020E61000004119AFDF21240040C65BA72D9A844840,POINT(2.0176427340804 49.0359551493816)
566,TRONROUT0000000004016513,0.86,1,280.6,0101000020E6100000A0D1B91EF52000408C3F582D2C844840,POINT(2.0160925293405 49.0325981789493)
672,TRONROUT0000000004018600,0.89,1,203.2,0101000020E61000007624A445FF3A0040970FDA48A9834840,POINT(2.0288072052686 49.0286036553145)
870,TRONROUT0000000229452196,0.69,-1,45.1,0101000020E61000002F841B4A9D3200408D7B98C3F7834840,POINT(2.02471406837915 49.0309986586136)
119,TRONROUT0000000356811789,0.75,1,244.7,0101000020E61000003C3619E24B23004084DDC41594844840,POINT(2.01723457946244 49.0357691966301)
874,TRONROUT0000000004020826,0.55,1,94.1,0101000020E61000000989FF600C2D0040EE0040A613834840,POINT(2.02199626712639 49.0240371525305)
555,TRONROUT0000000004016571,0.03,1,296.1,0101000020E6100000787DE27ED22400403FB93F0ECA834840,POINT(2.01797961357778 49.0296037493849)
245,TRONROUT0000000004020678,0.01,-1,317.5,0101000020E61000009DBE02321B43004018897E8894834840,POINT(2.03276671477199 49.0279703729486)
805,TRONROUT0000000004018611,0.34,1,284.6,0101000020E610000029D16B81FF3500405015D9D7B2834840,POINT(2.02636624441415 49.0288953599908)
226,TRONROUT0000000004014515,0.24,-1,106.4,0101000020E6100000EC0A92CCCD4100404F171CAE5D844840,POINT(2.03213081188857 49.0341088902629)
269,TRONROUT0000000004012686,0.52,1,153.3,0101000020E610000035332089AA3400408D28014DE7844840,POINT(2.02571589593426 49.0383087402016)
910,TRONROUT0000000004018664,0.12,-1,252.2,0101000020E610000069CC84C3032000402CC2D8D39D834840,POINT(2.01563217877406 49.0282540138618)
657,TRONROUT0000000004018611,0.41,1,284.6,0101000020E6100000CF39ADB1ED350040AB3F0422B3834840,POINT(2.02633227167028 49.0289042015787)
670,TRONROUT0000000004018593,0.29,1,269.2,0101000020E6100000631D5D8DF9390040F9F771B3A9834840,POINT(2.02830801430143 49.0286163622367)
851,TRONROUT0000002001913691,0.18,1,309.3,0101000020E61000000BC707B1022A0040F1A798DF86834840,POINT(2.02051294617639 49.0275535102263)
666,TRONROUT0000000004018593,0.27,1,269.2,0101000020E6100000F8617251083A00401183C4B6A9834840,POINT(2.02833617811507 49.0286167583018)
148,TRONROUT0000002004351140,0.11,1,133.1,0101000020E6100000D1684AE152260040D3F15E5629844840,POINT(2.01871276863412 49.0325115169141)
815,TRONROUT0000000004016425,0.79,1,327.8,0101000020E61000000C162D7ACB350040C9654E4CEF834840,POINT(2.02626700830547 49.0307402975846)
395,TRONROUT0000000004016431,0.02,1,287.7,0101000020E61000002E7BAD94AC3500406A52C0A8F0834840,POINT(2.02620807794974 49.0307818354675)
1002,TRONROUT0000002010696910,0.21,-1,285.0,0101000020E61000006159F4C8B63C0040A9BD500559844840,POINT(2.02964550967879 49.0339666980975)
390,TRONROUT0000002203639236,0.95,-1,89.8,0101000020E610000094149CEF403300407A391FF6F0834840,POINT(2.0250261992938 49.0307910587753)
712,TRONROUT0000000004020785,0.10,1,13.6,0101000020E61000000A960A2AE83000407A57020C2F834840,POINT(2.02388031811529 49.0248732577738)
523,TRONROUT0000000004018710,0.40,1,303.4,0101000020E610000083A2237B15280040817BC7E59A834840,POINT(2.01957222177981 49.0281645988498)
524,TRONROUT0000000004018710,0.80,1,303.4,0101000020E610000098412CC8F52700407053FD339C834840,POINT(2.01951176056918 49.0282044398253)
49,TRONROUT0000002001913688,0.50,1,79.6,0101000020E61000006FD7B415442A0040AE5460C981834840,POINT(2.02063767393241 49.0273982735028)
217,TRONROUT0000000004020837,0.60,-1,151.2,0101000020E6100000CFF80273142C00405CB90EDB48834840,POINT(2.02152337887592 49.0256608793158)
298,TRONROUT0000000004018562,0.17,-1,239.2,0101000020E610000020689C7048470040ED080F0795834840,POINT(2.03480613686862 49.0279854606068)
904,TRONROUT0000000004014652,0.15,1,283.6,0101000020E61000003157A9CA591A00404FF79EAB72844840,POINT(2.01286657647406 49.0347494627191)
710,TRONROUT0000000004020782,0.86,-1,97.8,0101000020E61000000F090F5DD02F00403AE3005B1A834840,POINT(2.02334664060721 49.0242418054899)
679,TRONROUT0000002209786721,0.07,1,265.3,0101000020E6100000F253001967380040F924008591834840,POINT(2.02754039318324 49.0278784037309)
872,TRONROUT0000000229452134,0.35,-1,89.1,0101000020E6100000019F8ED7C42B00406E3C964114834840,POINT(2.02137154010768 49.0240556701254)
273,TRONROUT0000000004014512,0.30,1,90.7,0101000020E6100000F9C149DBEC3A00401F72F93983844840,POINT(2.02877208060113 49.0352547138211)
617,TRONROUT0000000004016505,0.42,1,133.4,0101000020E61000008D8DE5F245270040D358A5A02B844840,POINT(2.01917638552704 49.0325814063414)
673,TRONROUT0000000004018566,0.13,1,311.0,0101000020E6100000CBE38374573B004026789B9AA3834840,POINT(2.0289754011869 49.028430295861)
45,TRONROUT0000000004020837,0.57,-1,151.2,0101000020E610000015BC72C01B2C0040E75E500648834840,POINT(2.02153730726378 49.0256355183063)
33,TRONROUT0000000359020349,0.28,1,57.5,0101000020E610000067BC2317262500401966FBA54D834840,POINT(2.01813905790145 49.0258071401151)
472,TRONROUT0000000338910168,0.92,1,93.9,0101000020E610000025EC01BCF83600409BC4DE4DF9824840,POINT(2.02684161072604 49.0232331598028)
165,TRONROUT0000000004016571,0.50,1,296.1,0101000020E6100000F4108CAA8324004089A67B78CC834840,POINT(2.01782925834606 49.0296774486315)
863,TRONROUT0000000129715388,0.88,1,138.7,0101000020E6100000B4B9C219292900400018313230844840,POINT(2.02009792447572 49.0327208270755)
582,TRONROUT0000002001913691,0.89,-1,123.0,0101000020E610000063E622A07A29004050B1279F8C834840,POINT(2.02025342089182 49.0277289336979)
1010,TRONROUT0000000004018708,0.78,-1,122.5,0101000020E6100000A5973D98792800405EBF4CDE96834840,POINT(2.01976317346539 49.0280416369194)
885,TRONROUT0000000338910170,0.53,1,103.4,0101000020E6100000502D5ED02A3200401983B76D07834840,POINT(2.02449572360425 49.0236642023139)
869,TRONROUT0000000229452196,0.70,1,224.6,0101000020E6100000535D079C993200402B5DA388F7834840,POINT(2.02470704934573 49.0309916303325)
504,TRONROUT0000000004020811,0.47,1,260.5,0101000020E6100000EE7382148D220040F2FBF5FB00834840,POINT(2.01687065146552 49.023467536077)
307,TRONROUT0000000004018563,0.05,1,128.6,0101000020E61000009EB870F02F490040BA37E6957D834840,POINT(2.0357359680557 49.0272700666532)
817,TRONROUT0000002203639236,0.47,-1,89.8,0101000020E6100000BCCFBAD40C3400403F1A2102F1834840,POINT(2.02541509814361 49.0307924901613)
267,TRONROUT0000002206282731,0.14,-1,100.8,0101000020E61000004208D76A8939004070EB0DDF97844840,POINT(2.0280941340325 49.0358847444503)
491,TRONROUT0000000356914587,0.88,1,103.5,0101000020E61000003A04987CE030004057E7DC3C06834840,POINT(2.02386567439001 49.0236278608924)
926,TRONROUT0000000129715381,0.98,-1,122.7,0101000020E610000033E076DE432A0040A32152824A844840,POINT(2.02063726234703 49.0335238362343)
622,TRONROUT0000000129715381,0.96,-1,118.4,0101000020E6100000AF1D34064A2A0040F37603494A844840,POINT(2.02064900251909 49.0335170046727)
888,TRONROUT0000000004020731,0.99,1,99.7,0101000020E6100000AE787F53FD340040EA3D8359FD824840,POINT(2.0258738063122 49.0233566180066)
270,TRONROUT0000002206282731,0.16,-1,100.8,0101000020E6100000AFD714108139004001B879F897844840,POINT(2.02807819903952 49.0358877748804)
151,TRONROUT0000000004016497,0.98,-1,134.9,0101000020E6100000F2A5C8DF0C27004057A570721E844840,POINT(2.0190675242527 49.0321791696576)
241,TRONROUT0000000354965186,0.87,1,156.8,0101000020E6100000C61172DE0543004060673214A3834840,POINT(2.03272603784191 49.0284142728913)
935,TRONROUT0000000004016505,0.54,1,133.4,0101000020E610000094CE37C9602700406A2EFB0A2A844840,POINT(2.01922757340965 49.0325330473396)
726,TRONROUT0000000353923583,0.18,1,122.7,0101000020E6100000231266D2933E004019856B7400834840,POINT(2.0305553853416 49.0234513783454)
350,TRONROUT0000000004014568,0.89,-1,177.6,0101000020E6100000C98DE07CDF2B0040D679B0248A844840,POINT(2.02142236290249 49.0354657994937)
975,TRONROUT0000000356914587,0.89,1,103.5,0101000020E61000001842469BE2300040C094BC3406834840,POINT(2.02386971767579 49.0236268921667)
494,TRONROUT0000000356914588,0.09,-1,212.9,0101000020E610000037D098F570300040FEA590C3EE824840,POINT(2.02365295288657 49.0229114967624)
283,TRONROUT0000000004014503,0.24,-1,95.0,0101000020E6100000BE6AF1ED1E3E0040FAC4F2657E844840,POINT(2.03033243077274 49.0351073680303)
587,TRONROUT0000000004018671,0.08,-1,336.8,0101000020E610000079FD0007A92C004003A2E4558A834840,POINT(2.02180676910183 49.0276591650363)
505,TRONROUT0000000004020811,0.61,1,260.5,0101000020E6100000382540FC0B2200409E9CD4A3FF824840,POINT(2.01662442274815 49.0234265125411)
275,TRONROUT0000000004014503,0.85,-1,93.9,0101000020E61000008340064D933C00406097463880844840,POINT(2.02957782912569 49.0351629585919)
379,TRONROUT0000002207206859,0.84,-1,105.8,0101000020E61000006E8CF3C6AF280040FDA806A2AD844840,POINT(2.0198665183139 49.0365488560219)
435,TRONROUT0000000129715466,0.19,1,90.6,0101000020E6100000519036804A3F0040A7048DE1C5824840,POINT(2.03090381781116 49.0216638506475)
412,TRONROUT0000000004018679,0.09,-1,80.7,0101000020E61000004493726189310040958C7ED67B834840,POINT(2.02418781405359 49.0272167318264)
891,TRONROUT0000000004018814,0.21,-1,300.8,0101000020E6100000BB6E5D2DCA2600405F85F96769834840,POINT(2.0189403099192 49.0266542404522)
263,TRONROUT0000000004014504,0.93,1,100.0,0101000020E6100000ABB46B80F4440040642A774F85844840,POINT(2.03366947487537 49.0353183109153)
556,TRONROUT0000000004016497,0.94,-1,134.9,0101000020E6100000B2F9AC2E152700409F5DC1ED1D844840,POINT(2.01908337083224 49.0321633524102)
519,TRONROUT0000000004018708,0.14,1,302.5,0101000020E6100000D129018B3929004011D66C3A8F834840,POINT(2.02012928578663 49.0278084784915)
836,TRONROUT0000000004014504,0.89,1,100.0,0101000020E6100000C7630F5EC44400405164F0D685844840,POINT(2.03357766613451 49.0353344606198)
184,TRONROUT0000000129715429,0.12,1,208.8,0101000020E61000004F4F7EF1F8290040A50CB93DE2834840,POINT(2.02049435297696 49.0303418305933)
