cleabs,nom_rue_droite_valide,nature,nom,etat_de_l_objet,cpx_numero,sens_de_circulation,importance,nom_1_droite,nom_2_droite,geometrie,wkt
TRONROUT0000000004016416,,Route à 1 chaussée,,En service,D922,Double sens,4,AV DE LA PAIX,,0102000020E6100000060000006FEDC5376D3500400F1761622A844840AE950B5D0E35004046E49F4C2684484051C6497A88340040CD0159DE20844840314E1361F9330040964A59141B84484045965302C0330040394EF8B81884484075332C556F310040AC80D7E7FF834840,"LINESTRING(2.02608722279336 49.0325434660027,2.02590630237201 49.0324188023301,2.02565093553202 49.0322530684094,2.02537799682775 49.0320764003747,2.02526857202136 49.0320044720106,2.02413813153401 49.031247120119)"
TRONROUT0000000130217205,,Route à 1 chaussée,"",En service,,Double sens,4,AV PIERRE BRASSEUR,"",0102000020E6100000080000001F09978BDB2D0040B8D7D71F438448405F7B490ECF2D00408A0BB11E44844840B9292905902D0040C215BC6D4D844840AFB143167F2D004022BAB2E44E844840B69492E2602D00408A33368F518448405E5E9D012F2D0040B921B946558448404EDE6665DB2C00400B03031859844840F8FFC6F3A72C0040D23374DD5A844840,"LINESTRING(2.022391405627 49.0332984737319,2.02236758386373 49.0333288540342,2.02224735290403 49.0336129349121,2.0222150554093 49.0336576340381,2.02215744981603 49.033738995996,2.02206231366635 49.0338524249996,2.02190283985309 49.0339689268786,2.02180471850442 49.0340229813952)"
TRONROUT0000000229452139,,Route à 1 chaussée,"",En service,,Double sens,5,R DES ROCAILLES,"",0102000020E6100000020000001038E0A7C5230040A70E37459F83484064414D939123004034142E6B9E834840,"LINESTRING(2.01746684220326 49.0282980460009,2.01736750678553 49.0282720541949)"
TRONROUT0000000229452140,,Route à 1 chaussée,"",En service,,Double sens,5,R DU POLISSON,"",0102000020E6100000060000005F98DAF296260040497971D5898348408CC03887222700405C18B2D685834840FA349A4C9827004080F491D5828348402DFF829215280040D7F9C9198183484048DBF2C243280040A088CD1780834840A0862FC34B280040618BC8B67F834840,"LINESTRING(2.01884259919738 49.0276438526221,2.0191088260836 49.0275219316106,2.01933345647433 49.0274302447006,2.01957239591856 49.0273773418627,2.01966049483909 49.0273465875227,2.01967575539386 49.0273350218984)"
TRONROUT0000000229452188,,Rond-point,"",En service,,Sens direct,4,AV PIERRE BRASSEUR,"",0102000020E610000003000000A44A0480C92D004069DD152441844840032D2197D12D00405A28A4774084484092A06B95DE2D00409258E62D40844840,"LINESTRING(2.02235698712441 49.0332379442942,2.02237241811747 49.0332173873473,2.02239720091536 49.0332085966812)"
TRONROUT0000000243657695,,Route à 1 chaussée,,En service,,Double sens,5,,,0102000020E6100000050000002F4346D69B2C0040BE1C5EB2E38348403E3F90FDC02C0040FB65D120E4834840E4F2E0B7DA2C0040F1D20F68E48348409AF95627F02C004039E333A7E483484065F619F8012D0040149C0B04E5834840,"LINESTRING(2.02178161050724 49.0303862533124,2.02185247513253 49.0303994200185,2.02190154700507 49.0304079129472,2.02194243177582 49.0304154399259,2.02197641209823 49.030426507634)"
TRONROUT0000000317875736,,Route à 1 chaussée,"",En service,,Double sens,4,R DES VALANCHARDS,"",0102000020E610000004000000356AE852F124004051E56109B0824840D45FC3863D240040BFA75397AF8248408C78052FC523004094F9384BAF824840FD6D7C9FCC220040C6886DAAAE824840,"LINESTRING(2.01803841373228 49.0209972122199,2.01769547733054 49.0209836157296,2.01746594176718 49.0209745433996,2.01699184988479 49.0209553751788)"
TRONROUT0000000322996822,,Route à 1 chaussée,"",En service,,Double sens,5,R DE LA HULOTTE,"",0102000020E61000000200000010CBC67BE93300409A53F359558348404EBE679485330040A1DA59BB5F834840,"LINESTRING(2.0253476781885 49.0260422170752,2.02515712682342 49.0263590039006)"
TRONROUT0000000322996824,,Route à 1 chaussée,,En service,,Double sens,5,R DE LA HULOTTE,,0102000020E61000000200000014CB25E1C732004039FDD4755083484010CBC67BE93300409A53F35955834840,"LINESTRING(2.02479530235849 49.0258929529177,2.0253476781885 49.0260422170752)"
TRONROUT0000000338910153,,Rond-point,"",En service,,Sens direct,4,R DU CHARDON,"",0102000020E61000000600000017EB6C566E21004065A705CFAD824840DDE50A5D6B210040656E2729AE824840A58C9C9E622100406D19B4A0AE82484001BA92C057210040A7185801AF82484056BDB90D4A21004056877043AF824840FBFF97683C21004085F34758AF824840,"LINESTRING(2.01632373351948 49.0209292199714,2.01631806077488 49.0209399645362,2.01630138316394 49.0209542159454,2.01628065536283 49.0209657364042,2.01625452731211 49.0209736155945,2.01622850145213 49.0209761000943)"
TRONROUT0000000338910154,,Route à 1 chaussée,"",En service,,Sens direct,5,R DU SOLSTICE,"",0102000020E6100000020000001606DB0EEC310040C0B60CB5F18348402F29672B24320040AD916779F3834840,"LINESTRING(2.0243760262099 49.0308138191299,2.02448305042812 49.0308677440365)"
TRONROUT0000000338910170,,Route à 1 chaussée,,En service,,Double sens,4,MAIL MENDES FRANCE,,0102000020E6100000040000001D8C0FEB60310040867AE8960A834840E88FBE42BA310040FC33441A09834840503D7255853200406D5B0F15068348403EBA6F5BDF320040C589ACB604834840,"LINESTRING(2.02411063805768 49.023760665431,2.02428104538011 49.0237152894042,2.02466837649232 49.0236231160151,2.02484008249965 49.0235813467475)"
TRONROUT0000000338910163,,Route à 1 chaussée,,En service,,Double sens,5,MAIL MENDES FRANCE,,0102000020E6100000020000001477DDE6B93800406C6F3AFAF782484039889D5460380040509FFDD7F7824840,"LINESTRING(2.02769832957609 49.0231926713303,2.02752748590231 49.0231885898962)"
TRONROUT0000000004014548,,Chemin,,En service,,Double sens,5,,,0102000020E61000000C000000325C58704A36004009DA2B7637844840041984EB1E36004092DD7F1E398448403DA65E1EB8350040EFD590653C84484035AAA2146435004056F074453F844840912276A94F35004015CCFF6840844840CEC517453A35004027642C6742844840DE86F92D2D35004012BDE203438448409FB0632BAB34004032773D2946844840265F653D6C34004014CD4DFC478448409593EDD2313400400C5AE91A49844840034D18411C340040A71DEA4C49844840F5C99B873C330040172E935549844840,"LINESTRING(2.02650916833547 49.0329425539131,2.02642616268997 49.0329931377738,2.02623008467051 49.0330931622701,2.02606979485906 49.0331808873167,2.02603084937829 49.033215641881,2.02599004725264 49.0332764593843,2.02596507947679 49.0332951409456,2.02571710489254 49.0333911466718,2.02559707608806 49.0334468250168,2.02548565661932 49.0334809913075,2.0254445157567 49.0334869521278,2.0250177950304 49.0334879845288)"
TRONROUT0000000004014540,,Route à 1 chaussée,,En service,D922,Double sens,4,AV DE LA PAIX,,0102000020E610000003000000F20713228B38004093BA3D1851844840549BC1A0CB3700408F7642B747844840DB1AE07D23370040B3C03A523F844840,"LINESTRING(2.02760912533358 49.0337248135958,2.02724385825005 49.0334385942962,2.02692316379703 49.0331824099425)"
TRONROUT0000000004016475,,Route à 1 chaussée,,En service,D38,Double sens,4,AV AUGUSTE BLANQUI,,0102000020E610000002000000C67C4C3C92250040994F20DDC183484010AAF3C6BA25004061418033BE834840,"LINESTRING(2.0183453284113 49.0293537528771,2.01842265540223 49.0292419792411)"
TRONROUT0000002207206739,,Route à 1 chaussée,,En service,,Double sens,4,AV BORIS VIAN,,0102000020E6100000020000006D21DC70591E0040874F1492A4834840D89A70ABD61E00401000A9E99B834840,"LINESTRING(2.01481903239999 49.0284597968267,2.01505788743394 49.0281955790707)"
TRONROUT0000002207206745,,Route à 1 chaussée,,En service,,Double sens,5,R DES CAMPANULES,,0102000020E61000000C000000B914ABBE6B2700408B5B3E04A2834840639BE0C2AA27004032E14CA4A4834840C5AD7B55132900408B2F6B16B3834840EEACD7E11D2900401D7A4BC5B38348408170DC8D2529004004BB567BB4834840BAF62DCCD32800405DE9534DB9834840848ABF2C91280040149B66DDBD834840821A871E86280040A8E66EDCBE834840CFB5CC567128004006F22CD2BE834840BF7B4EE60B2700409B3B22FBB88348408042FB453526004057E2F811B58348404C622B2629260040DC3095DBB4834840,"LINESTRING(2.01924847564314 49.0283818535309,2.01936866996714 49.0284619689359,2.0200564077729 49.028902819001,2.02007652701797 49.0289236658611,2.02009116009691 49.0289453671922,2.01993522181769 49.0290924701428,2.01980814895188 49.0292317152982,2.01978706216625 49.0292621175298,2.01974742710329 49.0292608947239,2.01906566550267 49.0290826718476,2.01865629838022 49.0289633240943,2.01863317317865 49.0289568403693)"
TRONROUT0000000004014479,,Route à 1 chaussée,,En service,,Double sens,5,,,0102000020E61000000400000001A86E3BEF480040C532780A97844840EC48C68A91480040831AA3FA8E844840CC1BC4898D4800406DFBA5F98D844840D6FE7AAA91480040D8957D268C844840,"LINESTRING(2.03561254912802 49.0358594023615,2.03543384950273 49.0356133743672,2.03542621259428 49.0355827389202,2.0354340857301 49.0355270493707)"
TRONROUT0000000004014606,,Route à 1 chaussée,,En service,,Double sens,4,AV MARTIN LUTHER KING,,0102000020E6100000020000003F3FE3C477280040796A2D9FAE84484037FCC6AE18270040ABC7ADCEB4844840,"LINESTRING(2.01975969141486 49.0365790340192,2.01909004730944 49.0367678020987)"
TRONROUT0000002207206859,,Route à 1 chaussée,,En service,,Double sens,4,AV MARTIN LUTHER KING,,0102000020E6100000020000009E42CD22D6290040AF018D6FA88448403F3FE3C477280040796A2D9FAE844840,"LINESTRING(2.02042796315102 49.0363902510174,2.01975969141486 49.0365790340192)"
TRONROUT0000002207206871,,Route à 1 chaussée,,En service,,Double sens,5,,,0102000020E6100000030000003F3FE3C477280040796A2D9FAE8448404EABB5CF5228004076BAC627AB84484062A34EECFF270040F3E89B11A3844840,"LINESTRING(2.01975969141486 49.0365790340192,2.01968920014534 49.0364732475618,2.01953110327706 49.0362264643935)"
TRONROUT0000002207206901,,Route à 1 chaussée,,En service,,Double sens,5,,,0102000020E61000000300000065E1AE918D4A00408F885F5EA8844840D2C01A67B1490040827EAFCC9E84484001A86E3BEF480040C532780A97844840,"LINESTRING(2.0364028340811 49.0363882032844,2.03598290014643 49.0360961777597,2.03561254912802 49.0358594023615)"
TRONROUT0000000356909097,,Rond-point,"",En service,D922,Sens direct,3,AV GANDHI,"",0102000020E610000005000000F49A8A4DE7290040B3DAACAECB834840A4320B50EA2900405A935F36CB8348406A915C60F729004079FF4BB0CA834840C732445C092A00409012D77DCA8348408CCA23160F2A0040D1802186CA834840,"LINESTRING(2.02046070651283 49.0296533912673,2.02046644720243 49.0296390501669,2.02049136431213 49.0296230670055,2.02052566607594 49.0296170520934,2.02053658768393 49.0296180404272)"
TRONROUT0000000359020340,,Route à 1 chaussée,"",En service,,Double sens,5,R DES GROUES,"",0102000020E61000000200000040065CC17A38004087FB86465A834840340024039239004044FC24A556834840,"LINESTRING(2.02757788717352 49.0261924895377,2.02811052754989 49.0260816984742)"
TRONROUT0000000359020344,,Route à 1 chaussée,"",En service,,Sens direct,5,"",,0102000020E610000002000000F400907EB82F0040BB5CF85440844840E237FCA1B12F0040CD76161244844840,"LINESTRING(2.02330111386265 49.033213254233,2.023288026342 49.0333273515404)"
TRONROUT0000002000488066,,Route à 1 chaussée,"",En service,D922,Double sens,4,R DE L'ANCIENNE MAIRIE,"",0102000020E610000003000000AAE31CB1AD44004086DD7A2F6F844840D22BB7266F4400403F12C0B66F844840317D65B547400040E249608579844840,"LINESTRING(2.03353441590703 49.0346431112221,2.03341512915129 49.0346592367027,2.03138677326174 49.0349585266265)"
TRONROUT0000002004351134,,Rond-point,"",En service,,Sens direct,4,AV LOUIS LECOIN,"",0102000020E610000005000000B907AD023C26004051DC9DAC2A8448403FD665A1462600401FFF271F2B8448400F3CCC6A4B2600402817E9E32B84484064FDC92A46260040C23B5AA72C8448403BE3DA6745260040404CF8CC2C844840,"LINESTRING(2.01866914835497 49.0325523157886,2.01868940441162 49.0325659699722,2.01869853435301 49.0325894249093,2.01868852070736 49.0326127234071,2.01868706833593 49.0326172077553)"
TRONROUT0000000004012709,,Route à 1 chaussée,"",En service,,Double sens,5,ALL DE L'OBSTACLE D'EAU,"",0102000020E6100000020000009CA07D0BED1C0040A623E5A0F68448405C59B602071D00406E8501DBFA844840,"LINESTRING(2.0141240022386 49.0387765044064,2.01417352789865 49.038905502074)"
TRONROUT0000000004012753,,Route à 1 chaussée,"",En service,,Double sens,4,AV MARTIN LUTHER KING,"",0102000020E610000002000000E2FB707CF7240040881A759AFC844840DF7AFA001A2500402FDE76A7FE844840,"LINESTRING(2.01805016727256 49.0389588424487,2.01811600460438 49.0390214281473)"
TRONROUT0000000004014530,,Route à 1 chaussée,"",En service,D55,Double sens,4,R NATIONALE,"",0102000020E6100000020000003958ECCCB8440040E3B8CFBD5A8448400FC54DEEA44400405ADD32A357844840,"LINESTRING(2.03355560394541 49.0340192093152,2.03351770567736 49.0339244840968)"
TRONROUT0000000004014521,,Route à 1 chaussée,,En service,,Double sens,5,,,0102000020E610000006000000E9019516393C00407497ABCE818448401CF07D42473C0040E1ACD35F828448406501F2D14E3C004086BCE877838448406ABA5840263C004006C556708E8448408168E636283C00404F7192DC938448400FDB81CA403C00402138D2FF97844840,"LINESTRING(2.02940576212153 49.0352114045953,2.02943279215653 49.0352287086078,2.02944721240799 49.0352620970162,2.02936983366753 49.0355968879394,2.02937357798243 49.0357623782207,2.02942045410908 49.0358886505567)"
TRONROUT0000000004014552,,Route à 1 chaussée,"",En service,,Double sens,5,R DE L'EGLISE,"",0102000020E61000000400000002CCFAB0743A0040C5EE2B155484484057B22456D43A004008E6A18B55844840D5BC0675553B004063A401C357844840AFB017CB1C3C0040099F2C295A844840,"LINESTRING(2.02854288354274 49.0338160004153,2.0287253122281 49.0338606396218,2.02897159029781 49.033928275873,2.02935179391905 49.0340014903905)"
TRONROUT0000000004014569,,Route à 1 chaussée,"",En service,,Double sens,4,AV MARTIN LUTHER KING,"",0102000020E6100000050000000FCA52CADD2B0040438D0BA68C844840F0755741BD2B00409B92214A92844840C1B945DE8D2B0040224FC83E97844840766BB7EE382B0040735AD6109D844840FDDDD4051E2B00403954B1519E844840,"LINESTRING(2.02141912522462 49.0355422550588,2.02135706947478 49.0357144035272,2.0212666859654 49.035865638549,2.02110468384984 49.0360432669303,2.02105335765714 49.0360815158715)"
TRONROUT0000000004014597,,Route à 1 chaussée,"",En service,,Double sens,4,AV MARTIN LUTHER KING,"",0102000020E610000002000000C7922803622B0040101C2C5563844840CA60FD79B72B0040B64E178673844840,"LINESTRING(2.0211830374486 49.0342813935641,2.02134604744433 49.0347755063826)"
TRONROUT0000000004014596,,Route à 1 chaussée,,En service,,Double sens,5,PLACETTE DU 8 MAI 1945,,0102000020E610000002000000F71BC68C93240040998A01526F8448409AC504F4352400409FC1265075844840,"LINESTRING(2.01785955409604 49.0346472270514,2.01768103255808 49.0348301114311)"
TRONROUT0000000004014603,,Route à 1 chaussée,,En service,,Double sens,5,PLACETTE DU 8 MAI 1945,,0102000020E610000002000000D22CF6F03A2400408CAA90196084484063337DDADA2500407343FCDC6B844840,"LINESTRING(2.01769054652468 49.0341827350977,2.01848383612234 49.0345417243724)"
TRONROUT0000000004014587,,Route à 1 chaussée,,En service,,Double sens,5,R DES ERABLES,,0102000020E61000000600000059701CF9E32800406EF12B428B84484032C3AC80EB2700409ABEB3198A84484057FFA812D3270040355BC5438A8448404201455CC22700404F082CFE8A844840B97A3277682700409051C19A908448402E1CD809D2260040BAB0E99299844840,"LINESTRING(2.0199660741619 49.0354998316351,2.01949215438108 49.0354644897136,2.01944555834045 49.0354695047048,2.01941368184649 49.035491725445,2.01924222109605 49.0356629795016,2.01895530405775 49.0359367028299)"
