id,code,etat,azimuth,rattachements,producteur,commentaire,geometrie
375,"{""J5"":""""}",bon,250,"{""bdtopo_troncon"" : ""TRONROUT0000000243755360"", ""bdtopo_position_sur_troncon"" : ""0.87"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""249.9"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.0176427340804,49.0359551493816]}""}",police,jeu de données test,0101000020E6100000B3D5FE3121240040BD58BE449A844840
348,"{""J4"":""""}",bon,2,"{""bdtopo_troncon"" : ""TRONROUT0000000004014568"", ""bdtopo_position_sur_troncon"" : ""0.26"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""1.5"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.02140623747407,49.0350474787649]}""}",police,jeu de données test,0101000020E6100000D991FF8DEA2B004059BE72297C844840
953,"{""B14"":""30""}",bon,247,"{""bdtopo_troncon"" : ""TRONROUT0000000004016535"", ""bdtopo_position_sur_troncon"" : ""0.73"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""246.9"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.01918930739215,49.0328355292504]}""}",police,jeu de données test,0101000020E610000030B0FE3745270040D29A530335844840
911,"{""B14"":""30""}",bon,141,"{""bdtopo_troncon"" : ""TRONROUT0000000004018663"", ""bdtopo_position_sur_troncon"" : ""0.35"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""141.2"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.01848807433708,49.0291375422035]}""}",police,jeu de données test,0101000020E6100000258CFFEFCA2500407E5FA211BA834840
962,"{""A13b"":""""}",bon,96,"{""bdtopo_troncon"" : ""TRONROUT0000000004020729"", ""bdtopo_position_sur_troncon"" : ""0.68"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""96.0"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.027227190264,49.0244845223641]}""}",police,jeu de données test,0101000020E610000074BE0044BF3700403ECCCFE620834840
988,"{""B14"":""30""}",bon,62,"{""bdtopo_troncon"" : ""TRONROUT0000000004020694"", ""bdtopo_position_sur_troncon"" : ""0.09"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""62.1"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.02923652632508,49.0246604516134]}""}",police,jeu de données test,0101000020E6100000888700FCE43B0040D3A68F1C27834840
435,"{""B14"":""30""}",mauvais,92,"{""bdtopo_troncon"" : ""TRONROUT0000000129715466"", ""bdtopo_position_sur_troncon"" : ""0.19"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""91.7"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.03090381781116,49.0216638506475]}""}",police,jeu de données test,0101000020E610000033B9FF654A3F00406AB3894AC5824840
419,"{""B13"":""8t""}",bon,14,"{""bdtopo_troncon"" : ""TRONROUT0000000323360821"", ""bdtopo_position_sur_troncon"" : ""0.23"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""13.5"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.02785274651232,49.0196634858233]}""}",police,jeu de données test,0101000020E6100000F56EFEEF2039004054B8930084824840
916,"{""EB20"":""vaureal""}",moyen,131,"{""bdtopo_troncon"" : ""TRONROUT0000000004020633"", ""bdtopo_position_sur_troncon"" : ""0.91"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""130.9"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.03953928106752,49.0252700451059]}""}",police,jeu de données test,0101000020E610000076D3FE6FF250004011A0137C3B834840
61,"{""A13a"":"""",""M9d"":""""}",bon,303,"{""bdtopo_troncon"" : ""TRONROUT0000000004018805"", ""bdtopo_position_sur_troncon"" : ""0.40"", ""bdtopo_sens"" : ""1"", ""bdtopo_azimuth_du_projete"" : ""303.4"", ""bdtopo_projete"" : ""{\""type\"":\""Point\"",\""coordinates\"":[2.01770821969317,49.0260450506527]}""}",police,jeu de données test,0101000020E6100000367AFFDF542400406071E9F556834840
